fid,latitude,longitude,TOTAL_SCORE,cluster
4542,42.2795577,-71.06561999,51,159
4543,42.27946778,-71.06559798,51,159
4544,42.27936732,-71.06557464,51,159
4545,42.27941791,-71.06584653,51,159
4546,42.27953205,-71.06467604,51,159
4547,42.27938826,-71.06449529,51,159
4548,42.27934249,-71.06466946,51,159
4549,42.27939127,-71.06487961,51,159
4550,42.27923509,-71.06507311,51,159
4551,42.27952551,-71.06520279,51,159
4552,42.27967468,-71.06527302,51,159
4553,42.2811526,-71.06098115,61,142
4554,42.28119578,-71.06080118,51,142
4555,42.28100322,-71.06079997,51,142
4556,42.28085259,-71.06082285,51,142
4557,42.28046605,-71.06062653,51,142
4558,42.28034829,-71.06056697,51,142
4559,42.28020261,-71.06048937,51,142
4560,42.27993745,-71.06032937,51,142
4561,42.27957976,-71.06001435,56,142
4562,42.27923356,-71.05979937,51,142
4563,42.27841281,-71.06007289,51,142
4564,42.27900462,-71.06037573,51,142
4565,42.27936484,-71.06065856,61,142
4566,42.27963229,-71.06069981,51,142
4567,42.27984529,-71.06082508,52,142
4568,42.27988651,-71.0613402,51,142
4569,42.2797469,-71.06127764,69,142
4570,42.27898918,-71.06093498,61,142
4571,42.27849764,-71.0617037,51,142
4572,42.27844842,-71.0618725,56,142
4573,42.27742324,-71.06153149,51,142
4574,42.27749179,-71.06135056,51,142
4575,42.27755722,-71.0611643,51,142
4576,42.27770077,-71.06072548,51,142
4577,42.27776926,-71.06057544,51,142
4578,42.2773881,-71.06050771,53,142
4579,42.27737746,-71.06073304,57,142
